anders,Male,Danish
bush,Male,English
cortez,Female,English
elizabeth,Female,English
helle,Female,Danish
hillary,Female,English
ilhan,Female,English
lars,Male,Danish
mette,Female,Danish
obama,Male,English
poul,Male,Danish
trump,Male,English
